page,text
524,"484 SRIMADBHAGAVADGITA | [Chapter 4
us, we regard these as of others and for others, and render service -
to others with these, attachment perishes because in fact, we
have no affinity for such objects and actions.
The Lord, without any selfish motive descends to the
mortal world, in order to inspire beings to attain salvation, as :
He is a disinterested friend, of all beings. When a man has
a firm belief that He is the disinterested friend of all beings,
he is attracted towards God. The attraction for Him wipes out -
attraction, (attachment) for the world. For example, in childhood
children play the game of marbles and have attraction for the a
same. They ever quarrel for their possessions. But, when they
grow old, instead of having attraction for marbles or toys they
have attraction for money. But, when they are inclined towards
God, they have no attraction for mundane objects and riches
etc. Their attachment for them, is renounced. As soon as it is -
renounced, fear and anger are rooted out, because both of these
depend on attachment. 7
""Manmaya'—When, a man knows the truth about the divine
nature of the Lord's birth and actions, He becomes, dear to him. -
So he takes refuge in Him, and gets absorbed in Him. |
Those, who have attraction for mundane pleasures get
absorbed in the desire for pleasure (Gita 2/43), while those, who ,
have attraction for God ever remain absorbed in Him (Narada-
Bhaktisutra 70). They lose their individuality, because of their
exclusive devotion to Him, and identify themselves with Him.*
‘Mamupasritah'—The expression, 'Vitaragabhayakrodhah’
denotes, total severance of connection with the world, while it also
indicates that a striver taking refuge in Him, gets absorbed in Him.
* Cowherdesses became just like their loving Lord Krsna in gait and
manners, laughter and merriment, glance, speech, inclination and facialexpression
etc. They having forgotten themselves totally became the embodiment of Lord
Krsna and copying His pastime began to utter,""I am no one else but Lord Krsna
(Srimadbha. 10/30/3).
"
525,"Verse 10] | SADHAKA-SANJIVANI 483 :
idol, he like a picture carries on the drama (pastime) of being
motionless. If He doesn’t remain immovable, how will His
manifestation as an idol be proved? The Lord descended to this
world as Rama and Krsna etc., and also as a fish and a tortoise
etc. He carried on His pastime according to His Form. As in
‘varahavatara’ (incarnation as a boar) he played the drama as a
boar and in ‘Vamanavatara’ (incarnation as a dwarf) he carried |
on the pastime as a celibate. Therefore a striver should hold that .
whatever is happening now is only the Lord’s pastime.
IBS me
Link:—The Lord, in the next verse, describes the traits of
those devotees, who know the divine nature of His birth and
action. - |
atreRraaatat Aa ATUTSTa: | -
asa WATT TAT ASAAVTA: ll Qo tt
vitaragabhayakrodha manmaya mamupasritah -
bahavo jhanatapasa puta madbhavamagatah
Freed from attachment, fear and anger, absorbed in Me -
and taking refuge in Me, purified by the penance of knowledge, ,
many have attained union with My Being. 10
Comment:—
'Vitardgabhayakrodhah'—When a man, has disinclination for
God, he gets attached to the perishable objects. It is, because of
his attachment, that he has the sense of 'mine,' for the objects
acquired and a desire for those unacquired. He has greed for the
acquired objects and gets angry with those who are obstacles to
the acquisition of those objects. If persons, who are obstacles, are
stronger than him, it causes fear. Thus, attachment to perishable
objects gives birth to fear, anger, greed, desire and feeling of
‘mine,’ and such other vices. If attachment is renounced, all these
vices perish. If instead of regarding the objects as ours and for
"
526,"Verse 10] SADHAKA-SANJIVANI 485 -
A man has to depend upon something or the other in this |
world. He (the soul).in spite of being a fragment of God, having
no inclination for Him, relies on perishable objects, such as riches
etc., which lead to his downfall. Not only this, but even if he
depends, on intellect, in order to perform virtuous actions, on -
the practice of spiritual discipline or on renunciation of pleasure
and prosperity, he cannot realize God, quickly. So long as, he
(the self) does not depend on God, his dependence on world .
does not end, and he has to suffer pain.
A man, 1s attracted towards loving persons and objects, such mete wien
as his wife and son etc., while he, depends on his superiors,
such as parents and elders etc. But a devotee of the Lord, has
attraction for Him and also depends on Him, because for him,
He is most loving and superior to all. |
'Bahavo jiianatapasa pita madbhavamagatah'—Though a man, 7
is purified through the Discipline of Knowledge also, yet the
term ‘Jnana’ (knowledge), has been used, for knowing the reality -
about the divine nature of the Lord's birth and action. This
knowledge, purifies the man, because the Lord is the purest of
the pure. The soul being a fragment of God, is naturally pure. :
In the Manasa it is declared, ""The soul is sentient, pure and
naturally, a heap of joy"" (7/117/1). By attaching importance to
the perishable and by having the feeling of ‘mine’ with them,
he (the soul) becomes impure. When a man knows reality about
the divine birth and divine actions of God, his attraction for the
perishable and his feeling of 'mine’ for them, totally perish and
then all impurity comes to an end, and he emerges very pure.
This is Karmayoga. So the term, ‘Jnana’ can stand for
knowledge of Karmayoga, in which all acquired things, such
as the body, senses, mind, intellect, rank, ability, authority, riches
and property etc., are not one’s own or for one's own self, but
are of the world and for the world. Why? The reason is, that he
(the self) is eternal; so how can perishable things stay with the
"
527,"486 SRIMADBHAGAVADGITA [Chapter 4
imperishable soul, and be useful for It? Perishable things, such as |
the body etc., were neither with us before, nor will remain with
us after death, and at present also, they are being destroyed every
moment. We have a right, to make proper use of acquired objects,
rather than to lay claim to them. These things (objects), belong “
to the world and so they should be used in rendering service to
the world; this is their proper use. But if anyone regards these
as his, or for him, it is a bondage or impurity for him. -

When a person, does not regard perishable things, as his or
for him, it means that he performs the penance of knowledge, orn oe
which purifies him. The penance of knowledge, is superior to
all other austerities. Through this, the assumed affinity for the
insentient (matter), is renounced totally. So long as, a man assumes |
his affinity for the insentient, he is not so easily purified by -
any other penance, as he is purified by that knowledge, through
which, his affinity for matter is renounced. Being purified, by
the penance of knowledge, a man attains to His Being, which -
is Truth, Consciousness and Bliss. It means, that as the Lord is
eternal, he also resides in Him constantly; as the Lord is untainted .
and unaffected he also remains untainted and unaffected. As
nothing remains to be done by God, nothing further remains to
be done by him. A man, through the Discipline of Knowledge, .
also attains to His Being (Gita 14/19).

Many devotees, having been purified by the penance of
knowledge, have attained Him. So strivers at present, also
being purified by the penance of knowledge, should attain Him.
Everyone, is independent in attaining Him, because this human |
body has been bestowed upon them, only to. attain God.

PICISE Re

Link:—The devotees attain Him. Now the question arises,
how they attain Him. The Lord answers the question, in the
next verse. :
"
528,"Verse 11] SADHAKA-SANJIVANI 487
Bt AM At Wea AeA UST | |
ay atiqadst AAEM: Ureh Aa: Le tt

ye yatha mam prapadyante tamstathaiva bhajamyaham |
mama vartmanuvartante manusyah partha sarvasah
O Partha! However, the way devotees worship Me, so do

I approach them; for all men ultimately follow My path. 11

Comment:— : -
""Ye yatha mam prapadyante tamstathaiva bhajamyaham'— —

Howsoever, devotees seek God, so does He meet them, and grant oe

them their hearts’ desires. He reveals Himself, to a devotee, in

the same form in which he thinks of Him. If a devotee thinks

of Him, as his preceptor, He becomes an excellent preceptor.

Similarly, God becomes a worthy father or mother, son, brother,

friend or even, an obedient servant, according to the desire of -

the devotee. If a devotee, feels restless without God, He also

becomes restless without, His devotee. -
Arjuna regarded Lord Krsna, as his friend and wanted to

make Him his chariot-driver. Therefore, He became his chariot-

driver. Sage VisSvamitra, treated Him as a disciple; so He became

his disciple. Therefore, with whatever sentiment devotees seek

Him, He correlates, by the same sentiment. The Lord of infinite |

worlds, reciprocates to the sentiments of His own created common

beings. How generous affectionate and merciful He is!

This topic reveals, that the Lord manifests Himself for the |
sake of His devotees. He descends to the earth, according to

the sentiment of His devotees. It is mentioned in the Upanisad,

'The Lord felt lonely’ (Brhadaranyaka 1/4/3). So He manifested

Himself in different forms and started His sport. Similarly,

when devotees have a desire to take part in divine sport in the

company of the Lord, He manifests Himself, in order to take

part. When a devotee, cannot suffer his separation from God,

God also cannot bear it from him.
"
529,"488 SRIMADBHAGAVADGITA [Chapter 4 |
: ‘Though the words ""Yatha' (in whatever way) and 'Tatha’ (so) |
explains, that in whatever way a devotee seeks Him, He reciprocates
his sentiments, yet there is a great difference in their manner. If
a devotee takes one step towards God, God may take hundreds |
of strides to meet him. The Lord is omnipresent, omnipotent
and omniscient. Moreover, He is His devotee’s supreme and
unselfish friend and true to His resolve. A devotee should use
his full power to attain Him, then the Lord is attained, through -
His limitless power. |
A striver himself, creates obstacle in God-realization, because nnn
he does not apply his intellect, resources, time and power etc., to
| the full. extent, in order to attain Him. If he, without regarding
these as his own, utilizes them fully for God-realization, he
may realize Him soon. Actually, they are the Lord's, because
they have been bestowed upon by Him. A feeling of ‘mine’, -
is the main obstacle to God-realization. Man himself, is also a
fragment of God, but he considers himself separate from God, -
while the Lord does not think so. :
In fact, a striver cannot develop devotion to God, through the ;
performance of actions. Devotion, is automatically bestowed upon
a devotee, who takes refuge in Him. The refuge (surrender), is
the best sentiment out of all the other feeling such as of service,
of friendship, of affection and of sweet love etc. The Lord seems
to declare, that if a devotee dedicates his possessions to Him,
God would offer His possessions to the devotee; and if he offers
himself to Him, God reciprocates. What an easy and economic
transaction, God-realization 1s! |
When a devotee, surrenders himself at His feet, He does
not even remember his sins, of the past. He only thinks of his
| present emotions, hundreds of times (Manasa 1/29/3).
In this (eleventh) verse, there is no description of scriptural
subjects, such as dualism or non-dualism, the Lord endowed with
attributes or attributeless, or different kinds of salvation etc. But,
"
530,"Verse 11] SADHAKA-SANIJIVANI 489 .
here is a description of the feeling of ‘mine’, with God. ‘Only -
God is mine and I am only God's—this feeling of ‘mine’ for God,
enables a striver to attain Him, quickly and easily. Therefore, a
striver should accept his affinity for God, even if he does not |
understand it. By doing so, he will realize his affinity for Him .
which is real. oo |
Question:—The Lord, reciprocates the same sentiment with
which a devotee seeks Him. If a devotees approaches Him with oe
the sentiment of hatred or enmity etc., will the Lord, reciprocate
the same? a -
-Answer:—This is a topic of surrender (refuge) to Him, rather
than of hatred or enmity. So, no such question, should arise. Even
then, if we think over the question seriously, we come to realise
that the purpose of the Lord in reciprocating the same sentiment
to the person concerned, is to inspire him for salvation.* The Lord -
is a disinterested friend of all.beings (Gita 5/29). Therefore, he |
thinks of their welfare and acts, accordingly. He does the same,
_ even for those who may have feelings of hatred and enmity, -
for Him. When Lord Rama sents Angada as a messenger to the
court of Ravana, He urges him to convey his message in such -
a way that His purpose may be served and it may contribute to
his (Ravana's) welfare (Manasa 6/17/4).
Not only the Lord, but His devotees, are also disinterested |
friends of all beings (Srimadbhagavata 3/25/21). When, even a
devotee cannot harm anyone, how can the Lord, Who is the most
merciful and disinterested friend of all beings, harm anyone? A
person, may have affinity for Him with any sentiment yet He
inspires him for salvation only. As a bath in the Ganges, both in
winter and summer is rewarding, yet while bathing in winter a
man feels cold and during summer, he feels refreshed. Similarly,
| * Many persons out of desire, hatred, fear and love having concentrated their
minds on God, being purged of their sins, have attained God in the same way as |
devotees attain Him through devotion (Stimadbhagavata 7/1/29).
"
531,"490 SRIMADBHAGAVADGITA [Chapter 4
those devotees who worship Him with devotion attain eternal
bliss, but that bliss is not attained by those who have negative
feelings of hatred or enmity for Him.
‘Mama_ vartmanuvartante manusyah partha sarvasah'—
Whatsoever, a great man does, the same is done by others, as
well (Gita 3/21). God is the supreme Being. He is superior to
all the great men. So all people follow Him. The same fact, has
been pointed out, in the second half of the twenty-third verse -
of the third chapter. |
The Lord, ever remains prepared to reciprocate the wo
sentiment of His devotee. King DaSsaratha treats Him, as his
son. So He becomes an obedient son and cannot disobey His
father.* The Lord, wants to reveal the secret that a devotee
should accept the same relationship with Him, which he has
with a persons who is most loving to him, whether he is his -
son, father or whether she is his mother. By doing so, the Lord
will become most loving to him and thus the person will be
able to attain Him easily. Oo 7
Secondly, the Lord wants to urge the people, that by following
His footsteps they should also become worthy sons or parents or -
brothers, husbands, wives or sisters etc. Moreover, they should
render service to other members of a family, without expecting
any reward from them and without being proud of their action.
Those who have affinity with parents and other relatives, only
for rendering selfless service to them, follow the Lord's path in
the real sense. By doing so, for the good of others they will be |
free from the feeling of 'mine', and they will develop devotion
for God and attain Him.
Egoistic notions and selfishness, are the stumbling blocks to
* Lord Rama declares, ""I can enter fire, can eat deadly poison and can
jump into the sea in order to carry out the order of My father (Valmiki Ramayana,
Ayodhya. 18/28-29).
"
532,"Verse 11] SADHAKA-SANJIVANI 491 :
devotion for God. When a man loves anyone, without egoism .
and selfishness, that love automatically flows towards the Lord.

It is because of egoism and selfishness, that his love is confined

to narrow limits. But, when such evil propensities are renounced, _

his love becomes widespread. In that case, the assumed affinity ,
for the world perishes, and instinctively the real affinity for God |
is revealed.

The man (soul) is a fragment of God (Gita 15/7) and so .
his affinity for God, is natural. But when he (the soul) having
forgotten this real affinity, assumes the affinity for the world, Se
he has to follow, the cycle (bondage) of birth and death. This
bondage is twofold. One is due to his not realizing his real
affinity with God. Another, is due to his assumed affinity with
the world. But when he realizes his real affinity for God i.e.,

~ takes refuge in Him, he becomes free from worry, fear, sorrow, -
and doubt. Then, he is said to follow, the Lord's path.

Appendix—Though this universe is clearly the manifestation
of God, yet the Lord reveals Himself before us in the same :
Form in which we perceive (see) Him. We regarding the self as
body need things and desire them, then God manifests Himself ""
in the form of those things. If being established in the ‘Asat’

(unreal), we perceive (see) the unreal, the Lord is also perceived
in the unreal form. As a child wants a toy, its father brings it a
toy even by spending money, similarly whatever we want, the
most merciful God ever being eternal Reality appears before us —
in the same form. If we don’t desire pleasures, why should the
Lord appear before us in the form of pleasures? Why need He
assume the artificial Form?

Though the terms ‘yatha’ and ‘tatha’ (‘as’ and ‘so’) have
been used for the Lord’s nature, yet the Lord ever showers His
great grace upon beings because an insignificant being can’t
be compared with the supreme Lord. What is the strength of
its own in a being except the sense of pride? Even then if a
"
533,"492 SRIMADBHAGAVADGITA [Chapter4
person is attracted towards God, God is also attracted towards :
the person. As Viduraniji was oblivious of herself after beholding
Lord Krsna, Lord Krsna also was not in Himself and he ate the

skin of banana offered by Viduraniji and relished it.

In the Lord’s nature ‘yatha-tatha’ are applicable in actions :
rather than in feelings. The Lord also showers His love and
grace on an atheist ever in the same way as He showers it on
a theist (believer). Therefore in the Lord’s ‘yatha-tatha’ there is -
no selfish motive but it 1s the Lord’s glory (greatness) otherwise |
how can a common being be compared with the greatest Lord? oe
Even then he makes friends with an ordinary being and elevates
him equal to His rank. The Lord does not regard Himself as
great—this is His greatness.

PILE Ae

Link:—In the preceding verse, the Lord declared, ""As men
approach Me, so do I accept them."" It means, that it is very
easy to realize God. Then why do people not worship God? The -
Lord answers the question, in the next verse. |

eplgerd: Hun aks asd Ss cara: |

fara fe arqe cites Pahatata Hast 1 22 ul

kanksantah karmanam siddhim yajanta iha devatah

_ Ksipram hi manuse loke siddhirbhavati karmaja

Those who desire the fruit of their actions, worship the gods;
because success is quickly attained, by men through action, 12 :
Comment:—_

""Kanksantah karmanam siddhim yajanta iha devatah'—A man,
is eligible to perform new actions, and it is seen that success is
attained through action. So, he firmly believes that God is also
realized, through action (penance, meditation and trance etc.,)
just as, worldly objects are acquired through actions. He, does
not pay attention to the fact, that worldly things are acquired /
"
534,"Verse 12] SADHAKA-SANIJIVANI 493 .

through actions, as they are limited, they are not ever attained, -

they are separate from us, and they are changeful, while the Lord _

cannot be acquired, through action, as He is not a product of

action. He pervades everywhere, is ever attained, is not separate

from us (the self) and is unchanging. So, He can be attained, as -

soon as a Keen desire to realize Him, is aroused. Keen desire

for God-realization, 1s not aroused, because of the preference,

for worldly pleasures and prosperity. -
The Lord, is like a father, while the gods are like shopkeepers.

We can take a thing from a shopkeeper, only by paying the money i

but we can take it from the father, free of cost. Similarly, we

have to perform rituals according to scriptural methods for gods,

in order to obtain fruits from them, while God bestows upon us

our necessities, free of cost. Moreover, as a shopkeeper gives

even hazardous things, such as, a match box or a knife etc., to -

a boy on payment, but if the boy wants such things from his

father, the latter will not only refuse but take away, the money

also. A father gives only beneficial things to a boy. The gods, -

also bestow upon their devotees, harmful gifts without thinking

of their welfare, at the due completion of a ritual. But the Lord, -

like a father, bestows only those gifts, which are for the welfare

of devotees. In spite of this fact, the ignorant or dull-witted

people, because of their attachment, sense of mine and desire

for the perishable materials, worship other gods, as they do not

realise the glory, the benevolence and selflessness, friendliness

of the Lord (Gita 7/20—23; 9/23-24). | ;
'Ksiprarh hi manuse loke siddhirbhavati karmaja'— This human

world, is the field for actions. Besides this, other worlds, such

as heaven and hell etc., are for reaping fruits of past actions.

The Lord also declares, ‘Below in the world of men stretch

forth the roots (of the universe as a tree) entangling man, in

the bondage of actions (Gita 15/2). But the other worlds (heaven

and hell etc.,) exist, so that human beings may reap desirable or |

undesirable fruits respectively of their virtuous and evil actions. |
"
535,"494 SRIMADBHAGAVADGITA [Chapter 4 |
Only human beings, are eligible to perform new actions, which

bear fruit here, as well as hereafter. Beasts and birds etc., cannot
perform new actions. | |

In this human world those people, who are attached to action,
live (Gita 14/15). It 1s because of their attachment to actions, that ,
they are charmed by success, which is attained through action.

This success is attained quickly, but it is shortlived. When actions
are transitory, how could success attained through actions, be -
permanent? Therefore, the fruit of perishable actions, is also 7
perishable. Those who perform actions with a desire for fruit, —
think of the fruit only, they do not think of the perishable nature, BO
of that fruit. They take refuge in the gods and worship them, only
_ because they bestow upon them success quickly, when rituals are
duly completed. But because of their desire for fruit of action, they
never get liberated, from the bondage of action. Consequently, they -
have to follow the cycle of birth and death.

The real success of human life is God-realization and that

: cannot be attained, through action. A striver cannot even follow, 7
the Disciplines of Action, Knowledge and Devotion, which are
the means of God-realization, through action. He can attain Yoga, -
not through action but through the, renouncement of actions.

Question:—Action is, said to be, the means to attain Yoga
(Gita 6/3). Then, how is it, that a man cannot attain Yoga
through action?

Answer:—In Karmayoga, actions are performed, in order to
renounce affinity for actions, and the material for actions. Yoga
(union with God) is natural. So Yoga or God-realization cannot
be attained through actions. In fact, actions are unreal, but when
these are performed for the sake of the Supreme, they are called
‘Sat’ viz., real (Gita 17/27).

When a person, performs action with a selfish motive, he does
not realize Yoga (i.e., eternal union with God). In Karmayoga,
actions are performed for others, not for one's own self i.e., not
"
536,"Verse 13-14] SADHAKA-SANJIVANI 495 |
for their fruit (Gita 2/47). Actions, which are performed with a |
selfish motive, bind a man (Gita 3/9) while actions, which are
performed for others, liberate him, from the bondage of actions
(Gita 4/23). When actions are performed for others, affinity for
actions and their fruit is renounced, and that renouncement is
conducive to the realization of Yoga 1.e., union with God. |

While performing actions, a man has to depend on the
changing objects, such as the body, senses, mind, intellect, ~
person etc., which are different from the self (soul). The self,
ever remains uniform without undergoing any modification, at Se renee
all. Therefore, in Self-realization there is no need, in the least for
the objects, such as the body etc., which are different from the
self. A-‘man, naturally realizes the self, as soon as he renounces
his assumed affinity for worldly objects etc., which are different -
from him (the self). | |

| PISS

Link:—Having described the object of His manifestation, -
in the eighth verse, the Lord explains the merit of knowing the
divine character of his actions, in the ninth verse. There He -
explained, that actions lose their divine character t.e., become
impure, when these are performed with a desire for fruit. In the
next two verses, the Lord specially, explains how, they gain their
divine character (purity).

aga Tat gs TWorendfaunnsn: t

weet caaicata at faguedhAerrL 23 th

Tat Halter femaia a A Acct Cer |

ofa at arsfisraia Hahet a aead i 2X tl

caturvarnyam maya srstam gunakarmavibhagasah

_tasya kartaramapi mam viddhyakartaramavyayam
na mam karmani limpanti na me karmaphale sprha
iti mam yo'bhijanati karmabhirna sa _ badhyate
"
537,"| 496 SRIMADBHAGAVADGITA ‘{Chapter4 .
. The fourfold order was created by Me according to the modes
of their nature and action (Karma). Though, I am the creator, know :
Me, the immortal Lord, to be a non-doer. Since I have no craving
for the fruit of actions, these do-not taint Me. He who knows Me |
‘thus, (in reality) is not affected by actions. 13-14
Comment:— | —
‘Caturvarnyarh maya srstari gunakarmavibhagasah'—The Lord,
created the four castes (order)—Brahmana, Ksatriya, Vaisya and :
Sidra, according to the modes of nature, and actions of previous
birth.* Besides human beings, the Lord created the gods, manes ss ~ aan
and other forms of life also, according to the modes of their
nature and action, without showing the least partiality. -

- The fourfold caste (order), does not apply only to human >
beings, but also to birds, beasts and trees etc. Among birds, pigeons |
are regarded as Brahmana; hawks, kites and crows are regarded
respectively as Ksatriya, Vaisya and Sidra. Similarly Pipala, Nima, |
Tamarind and Acacia, are regarded respectively as Brahmana, —__ -
Ksatriya, Vaisya and Sidra. But, here the term 'Caturvarnyarh’ |
stands only for human beings, because they can understand this -
distinction and can perform their duty, accordingly.

‘When the Lord declares, that the fourfold caste was created
by Him, He means to say that all of these are his fragments and |
He is their disinterested friend. Therefore, He always thinks of
their welfare. On the other hand, they are neither fragments of
the gods nor are the gods their disinterested friends. So they |
should worship Him, only though the performance of their own
duty (Gita 18/46).
* The four castes (orders of society) (Brahmana, Ksatriya, Vaisya and
Sidra) are classified according to the mode of nature. In Brahmana the mode of
goodness predominates; in Ksatriya the mode of passion predominates, while the
modes of goodness is secondary; in Vaisya the mode of passion predominates,
while the mode of ignorance is secondary (subordinate); while in Siidra the mode
of ignorance predominates. Thus the castes were determined on the basis of the
mode of nature. :
"
538,"Verse 13-14] SADHAKA-SANJIVANI 497 :
- *Tasya kartaramapi mam viddhyakartaramavyayam'—Though,

the Lord creates, preserves and destroys the entire universe yet He a

‘remains unconnected, (untainted) as He has no feeling of doership. |

He is called 'Avyayam' (unspent) only He is the material, as

well as, the efficient cause of creation. For example, in a pot of .

clay, clay is material cause and the potter is the efficient cause,

because while creating the world He remains uniform; neither

His energy is spent to create it, like the potter who spends his .

energy to make a pot, nor is the material consumed, when the

pot is made. | ee

The soul, being a fragment of God is also imperishable.

But, a man does not realize this fact, because he regards the

acquired body, senses, mind, intellect, wealth and property etc., -

as his own, and for himself. As soon as, he regards these as the

world's and for the world, he will realize his immortality. -

By using the term ‘Viddhi', the Lord urges strivers, to
understand the divine nature of His actions. When actions are -
performed without having any affinity for those or, the material
and the fruit of actions, then these become divine. _- ;

'Na math karm4ni limpanti na me karmaphale sprha'—When
the Lord, creates the universe, He has not the least affinity for
his actions, nor is there any flaw or partiality etc., in His actions,
nor any attachment or feeling of ‘mine’, or desire for the fruit
of actions. So those actions do not taint Him.

All perishable objects, are fruits of actions. The Lord urges |
strivers, that they, like Him should have no craving for the fruit |
of actions. If they perform actions, without having any craving
for the fruit of actions, the actions will not bind them. |

In the thirteenth verse, the Lord explained that He is a non-
doer i.e., He has no sense of doership,; in spite of performing
all actions, such as the creation of the universe etc. In this
verse, He explains that He has no craving for the fruit of
actions. Therefore, a striver should also perform actions, without
"
539,"498 SRIMADBHAGAVADGITA [Chapter 4 =.
a sense of doership and without having any desire for the fruit |
of actions. By doing so, he is automatically liberated from the -
bondage of actions. |

""Iti mam yo'bhijanati'—Desires are born, when a man has
an eye on the perishable mundane objects and then he cannot ”
know the reality about God, Who is immortal. As soon as,
desires are renounced, the inner sense is purified and then
naturally one reflects on God. By having an eye on Him, :
he comes to know that, He is a disinterested friend of all
beings, and all actions performed by Him, aim at the welfare, ee
of all beings. The Lord, bestows this human body upon us,
in order to enable us to be liberated from the bondage of
actions. But, a man without knowing this fact, assumes his
affinity for actions, and is thus held captive. Therefore the
Lord in spite of having, neither a sense of doership, nor, desire -
for fruit, creates the universe by His grace, so as to inspire
human beings, to attain salvation, by becoming free from the
bondage of actions. When a man knows Him thus (in reality),
he is attracted to Him. So Lord Siva in the Ramacaritamanasa
says to Uma, ""He who knows the nature of Lord Rama, ever -
remains engrossed in His adoration"" (5/34/2). |

""Karmabhirna sa badhyate'—The Lord's actions are ever divine.
The actions of saints and sages also become divine. Not only
saints and sages, but also men can make their actions divine, by
doing away with desire, attachment and a sense of 'mine’, which
are impurities in actions. When actions are purged of impurities,
these become divine and they do not bind men. These lead them,
as well as others, (who follow them), to salvation.

An easy means, to make actions divine is to use the objects
etc., acquired from the world, to render service to the world,
without regarding these as one's own, and for one's own self. |

We should give a serious thought to the fact, that we neither
brought the objects, such as the body etc., with us, when we
"
540,"Verse 13-14] SADHAKA-SANIHIVANI , 499 -

came, nor can we carry these with us when we go, or change |

these of our own accord, nor maintain them. Similarly, the subtle -

and the causal bodies, being the evolutes of nature (prakrti), also

undergo modifications and therefore, we have no affinity for

these. Moreover, those objects are not for us, because had they -

been for us, or having acquired them, there would have been

no further desire, to acquire anything else. So it is a blunder to

accept these as ours, and for us. They seem to us to be ours, -

so that we use them 1n rendering service to others rather than

to lay a claim on them. | ee
We should have no desire to acquire anything from the

world nor even, to gain any favour from God. We should rather

surrender ourselves to Him. The Lord Himself, has provided all

the necessities of life to us,.because He is very gracious and

merciful. He knows our needs more than we know ours as we -

are dull-witted while, He is very sharp. So, without desiring

anything, we should use the things that we possess, for the 7

welfare of others without any selfish motive. By doing so our

affinity for actions and objects etc., is renounced and God, Who

is an embodiment of Bliss is realized. -
Appendix—Though the author of worldly creation, the non-

doership of God remains unaffected, similarly the non-doership |

of the self also remains unaffected—‘Sarirastho’pi kaunteya na

karoti na lipyate’ (Gita 13/31). But being deluded, he thinks

that he is the doer—‘ahankaravimudhatma kartahamiti manyate’

(Gita 3/27).
‘Karma’, ‘Kriya’ and ‘Lila’—the three may appear to be

the same but really they are totally different. The ‘Kriya’

which is done with the sense of egoism and bears desirable

and undesirable fruit, is called ‘Karma’ (action). The ‘kriya’

(activity) which is done without the sense of doership and which

does not bear fruit, is called ‘kriya’ as breathing, opening and

closing the eyes, movement of the pulse, beating of the heart |
"
541,"500 SRIMADBHAGAVADGITA [Chapter 4
etc. The ‘Kriya’ which is free from the sense of doership and ""
from the desire for fruit, and also divine, and for the welfare -
of the world, is called “Lila’. Actions done by worldly people
are karma and by liberated people are kriya* and by God
they are mere sports or say “Lila’—‘lokavattu llakaivalyam’ -
(Brahmasutra 2/1/33) viz., as the world without real existence
appears to be existing, similarly the Lord’s activity such as
the creation of the universe etc., is merely His pastime. It -
means that the Lord in spite of being the non-doer seems to
be a doer because of His pastime. | So

‘Caturvarnyamh maya srstarhn gunakarmavibhagasah’—this
expression proves that according to the Gita a person’s caste
is determined by his birth. A person’s caste or Varna (order of
life) is determined by the caste of his parents. The word ‘jati’ |
is made from the root ‘jani pradurbhave’ which proves that the :
caste 1s determined by birth. By ‘Karma’ there is the word ‘krti’
which is made from the root ‘dukrfi karane’. But the caste is -
fully preserved by only discharging the duty prescribed for one’s
own caste. .

PISS ID

Link:—Describing the divine character of His actions, in
the preceding verse, and citing examples of ancient seekers of .
liberation, in the next verse, the Lord advices Arjuna to perform
his duty disinterestedly.

Ud Wet pd Ha gat qyehy: |

He Ha Tees Ud: Yaat Par Vu I

evam jnatva krtam karma pirvairapi mumuksubhih

kuru karmaiva tasmattvam purvaih purvataram krtam

Having known this, the ancient seekers of salvation also

* The Lord has also called it ‘Cesta’ in the Gita—SadrSarh cestate’ (3/33)
"
542,"Verse 15] SADHAKA-SANJIVANI 501 -
performed action (Karma); therefore, do thou also perform action, |
as the ancients did, in former times. 15 .
Comment:— OO
[The Lord here, concludes the topic of the divine character |
of actions, which He began in the ninth verse.] © :
_ ‘Evarn jfiatva krtarh karma pirvairapi mumuksubhih'—Anuna
was a seeker of liberation (salvation), but he did not think that
the performance of his duty (of fighting) would lead him to .
salvation. So he wanted to renounce the duty, as to him it
was horrible (Gita 3/1). Therefore, Lord Krsna urges Arjuna a
to attain salvation, through performing his duty, and cited the
example of ancient seekers of liberation, who attained salvation
by performing their duty. |
The Lord, is emphasizing the same fact here, which He _
mentioned, in the twentieth verse of the third chapter, by citing
the example of Janaka and others, and, in the first and second |
verses of this chapter, by citing examples of Vivasvan, Manu _
and Iksvaku etc.
It is mentioned in the scriptures, that when desire for liberation -
is aroused in a striver, he should abandon actions, because in that
case, he becomes eligible to attain knowledge (wisdom), rather
than to perform actions.* But here, He urges Arjuna, a seeker
of liberation, to perform his duty in a disinterested manner, and
cites the example of other ancient seekers of liberation.
Karmayoga (Discipline of Action) consists, in remaining
established in Yoga (union with God) while performing duty, _
and in performing duty while remaining firm in Yoga. Actions
are performed for the world, while Yoga (union with God) is
for one's own self. Performance of actions and non-performance |
of actions, are two states. A Yogi, transcends the two, without
* Actions should be performed so long as a striver does not develop |
dispassion or has no reverence to listen to My (God's) life-history
(Srimadbhagavata 11/20/9).
"
